person_source_id,person_id,name_en,name_zh,source_type,source_title,url,note
LATEST-FM029,FM029,Michel Debost,米歇爾・德博斯特,official_biography,Oberlin College：Michel Debost 紀念文章,https://www.oberlin.edu/news/michel-debost-legendary-flute-professor-and-performer-dies-92,人物生平與逝世資料
LATEST-FM024,FM024,Peter-Lukas Graf,彼得-盧卡斯・格拉夫,official_biography,Musik-Akademie Basel：Peter-Lukas Graf 紀念文章,https://www.musik-akademie.ch/musikschule/en/news/detail/zum-tod-des-floetisten-peter-lukas-graf.html,人物生平與逝世資料
ED-FM099,FM099,Sébastian Jacot,塞巴斯蒂安・雅科,official_biography,Sébastian Jacot：官方傳記,https://www.sebastianjacot.com/,人物傳記與專業經歷
ED-FM097,FM097,Vincent Lucas,文森・盧卡,official_biography,Philharmonie de Paris：Vincent Lucas,https://philharmoniedeparis.fr/en/person/10538/vincent-lucas,人物傳記與專業經歷
ED-FM089,FM089,Molly Alicia Barth,莫莉・艾莉西亞・巴斯,official_biography,Vanderbilt University：Blair School of Music 教職資料,https://www.vanderbilt.edu/faculty/contacts/,人物傳記與專業經歷
ED-FM083,FM083,Amy Porter,艾米・波特,official_biography,Wm. S. Haynes：Amy Porter 藝術家傳記,https://www.wmshaynes.com/amy-porter,人物傳記與專業經歷
ED-FM082,FM082,Joshua Smith,約書亞・史密斯,official_biography,The Cleveland Orchestra：Joshua Smith,https://www.clevelandorchestra.com/people/joshua-smith,人物傳記與專業經歷
ED-FM078,FM078,Lorna McGhee,洛娜・麥吉,official_biography,Lorna McGhee：官方傳記,https://lornamcghee.com/,人物傳記與專業經歷
ED-FM077,FM077,Adam Walker,亞當・沃克,official_biography,Royal College of Music：Adam Walker 任教公告,https://www.rcm.ac.uk/about/news/all/2017-11-01adamwalker.aspx?filters=1&tag=+Woodwind,人物傳記與專業經歷
ED-FM076,FM076,Gareth Davies,加雷斯・戴維斯,official_biography,London Symphony Orchestra：Gareth Davies,https://www.lso.co.uk/bio/gareth-davies/,人物傳記與專業經歷
ED-FM060,FM060,Rachel Brown,瑞秋・布朗,official_biography,Royal College of Music：Rachel Brown,https://www.rcm.ac.uk/hp/professors/details/?id=01775,人物傳記與專業經歷
ED-FM055,FM055,Jim Walker,吉姆・沃克,official_biography,Jim Walker：官方網站,https://www.jimwalkerflute.com/,人物傳記與專業經歷
ED-FM053,FM053,András Adorján,安德拉什・阿多揚,official_biography,Kungliga Hovkapellet：András Adorján,https://www.hovkapellet.com/musiker-och-dirigenter/404/andras-adorjan/,人物傳記與專業經歷
ED-FM051,FM051,Robert Dick,羅伯特・迪克,official_biography,New York University：Robert Dick,https://steinhardt.nyu.edu/people/robert-dick,人物傳記與專業經歷
ED-FM048,FM048,Robert Aitken,羅伯特・艾特肯,official_biography,New Music Concerts：創辦與歷史,https://www.newmusicconcerts.com/nmcs-board-of-directors-wishes-nmc-a-happy-50th-birthday/,人物傳記與專業經歷
ED-FM041,FM041,Donald Peck,唐納德・佩克,official_biography,National Flute Association：Donald Peck,https://www.nfaonline.org/about/about-the-nfa/achievement-awards/donald-peck,人物傳記與專業經歷
ED-FM039,FM039,John Krell,約翰・克雷爾,official_biography,National Flute Association：John Krell,https://www.nfaonline.org/about/about-the-nfa/achievement-awards/john-krell,人物傳記與專業經歷
ED-FM038,FM038,Bernard Goldberg,伯納德・戈德堡,official_biography,Marcel Moyse Society：Bernard Goldberg 紀念文章,https://moysesociety.org/passing-of-bernard-goldberg/,人物傳記與專業經歷
ED-FM027,FM027,William Bennett,威廉・班奈特,official_biography,William Bennett：個人傳記,https://www.williambennettflute.com/bio.html,人物傳記與專業經歷
PS0001,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,scholarly_index,Semantic Scholar,https://www.semanticscholar.org/paper/The-Flute-Book%3A-A-Complete-Guide-for-Students-and-Toff/edd41608d0a9ef80282878f1484021adaef8cf6a,人物及相關文獻來源
PS0002,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,library_archive,Library of Congress,https://guides.loc.gov/flute/special-collections,人物及相關文獻來源
PS0004,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,authority,Wikidata,https://www.wikidata.org/wiki/Q77212,人物及相關文獻來源
PS0005,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Johann_Joachim_Quantz,人物及相關文獻來源
PS0006,FM001,Johann Joachim Quantz,約翰・約阿希姆・匡茲,bibliographic_catalog,WorldCat,https://search.worldcat.org/search?q=Johann%20Joachim%20Quantz%20flute,人物及相關文獻來源
PS0007,FM002,Theobald Boehm,特奧巴德・伯姆,scholarly_index,Semantic Scholar,https://www.semanticscholar.org/paper/The-Flute-Book%3A-A-Complete-Guide-for-Students-and-Toff/edd41608d0a9ef80282878f1484021adaef8cf6a,人物及相關文獻來源
PS0008,FM002,Theobald Boehm,特奧巴德・伯姆,library_archive,Library of Congress,https://guides.loc.gov/flute/special-collections,人物及相關文獻來源
PS0010,FM002,Theobald Boehm,特奧巴德・伯姆,authority,Wikidata,https://www.wikidata.org/wiki/Q71003,人物及相關文獻來源
PS0011,FM002,Theobald Boehm,特奧巴德・伯姆,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Theobald_Boehm,人物及相關文獻來源
PS0012,FM002,Theobald Boehm,特奧巴德・伯姆,encyclopedia,Wikipedia,https://zh.wikipedia.org/wiki/%E7%89%B9%E5%A5%A5%E5%B7%B4%E5%B0%94%E5%BE%B7%C2%B7%E5%BD%AA%E5%A7%86,人物及相關文獻來源
PS0013,FM002,Theobald Boehm,特奧巴德・伯姆,bibliographic_catalog,WorldCat,https://search.worldcat.org/search?q=Theobald%20Boehm%20flute,人物及相關文獻來源
PS0014,FM003,Charles Nicholson,查爾斯・尼科爾森,scholarly_index,Semantic Scholar,https://www.semanticscholar.org/paper/The-Flute-Book%3A-A-Complete-Guide-for-Students-and-Toff/edd41608d0a9ef80282878f1484021adaef8cf6a,人物及相關文獻來源
PS0015,FM003,Charles Nicholson,查爾斯・尼科爾森,library_archive,Library of Congress,https://guides.loc.gov/flute/special-collections,人物及相關文獻來源
PS0018,FM003,Charles Nicholson,查爾斯・尼科爾森,bibliographic_catalog,WorldCat,https://search.worldcat.org/search?q=Charles%20Nicholson%20flute,人物及相關文獻來源
PS0019,FM004,Jean-Louis Tulou,讓-路易・圖盧,scholarly_index,Semantic Scholar,https://www.semanticscholar.org/paper/The-Flute-Book%3A-A-Complete-Guide-for-Students-and-Toff/edd41608d0a9ef80282878f1484021adaef8cf6a,人物及相關文獻來源
PS0020,FM004,Jean-Louis Tulou,讓-路易・圖盧,library_archive,Library of Congress,https://guides.loc.gov/flute/special-collections,人物及相關文獻來源
PS0022,FM004,Jean-Louis Tulou,讓-路易・圖盧,authority,Wikidata,https://www.wikidata.org/wiki/Q1685004,人物及相關文獻來源
PS0023,FM004,Jean-Louis Tulou,讓-路易・圖盧,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Jean-Louis_Tulou,人物及相關文獻來源
PS0024,FM004,Jean-Louis Tulou,讓-路易・圖盧,bibliographic_catalog,WorldCat,https://search.worldcat.org/search?q=Jean-Louis%20Tulou%20flute,人物及相關文獻來源
PS0025,FM005,Louis Dorus,路易・多魯斯,scholarly_index,Semantic Scholar,https://www.semanticscholar.org/paper/The-Flute-Book%3A-A-Complete-Guide-for-Students-and-Toff/edd41608d0a9ef80282878f1484021adaef8cf6a,人物及相關文獻來源
PS0026,FM005,Louis Dorus,路易・多魯斯,library_archive,Library of Congress,https://guides.loc.gov/flute/special-collections,人物及相關文獻來源
PS0028,FM005,Louis Dorus,路易・多魯斯,authority,Wikidata,https://www.wikidata.org/wiki/Q743998,人物及相關文獻來源
PS0029,FM005,Louis Dorus,路易・多魯斯,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Louis_Dorus,人物及相關文獻來源
PS0030,FM005,Louis Dorus,路易・多魯斯,bibliographic_catalog,WorldCat,https://search.worldcat.org/search?q=Louis%20Dorus%20flute,人物及相關文獻來源
PS0031,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,association,National Flute Association,https://www.nfaonline.org/resources-publications/publications/selected-flute-repertoire-and-studies,人物及相關文獻來源
PS0032,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,scholarly_index,Semantic Scholar,https://www.semanticscholar.org/paper/The-Flute-Book%3A-A-Complete-Guide-for-Students-and-Toff/edd41608d0a9ef80282878f1484021adaef8cf6a,人物及相關文獻來源
PS0034,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,authority,Wikidata,https://www.wikidata.org/wiki/Q326916,人物及相關文獻來源
PS0035,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Joseph-Henri_Alt%C3%A8s,人物及相關文獻來源
PS0036,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,bibliographic_catalog,WorldCat,https://search.worldcat.org/search?q=Joseph-Henri%20Alt%C3%A8s%20flute,人物及相關文獻來源
PS0037,FM007,Paul Taffanel,保羅・塔法奈爾,association,National Flute Association,https://www.nfaonline.org/resources-publications/publications/selected-flute-repertoire-and-studies,人物及相關文獻來源
PS0038,FM007,Paul Taffanel,保羅・塔法奈爾,scholarly_index,Semantic Scholar,https://www.semanticscholar.org/paper/The-Flute-Book%3A-A-Complete-Guide-for-Students-and-Toff/edd41608d0a9ef80282878f1484021adaef8cf6a,人物及相關文獻來源
PS0039,FM007,Paul Taffanel,保羅・塔法奈爾,library_archive,Library of Congress,https://guides.loc.gov/flute/special-collections,人物及相關文獻來源
PS0041,FM007,Paul Taffanel,保羅・塔法奈爾,authority,Wikidata,https://www.wikidata.org/wiki/Q287462,人物及相關文獻來源
PS0042,FM007,Paul Taffanel,保羅・塔法奈爾,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Paul_Taffanel,人物及相關文獻來源
PS0043,FM007,Paul Taffanel,保羅・塔法奈爾,bibliographic_catalog,WorldCat,https://search.worldcat.org/search?q=Paul%20Taffanel%20flute,人物及相關文獻來源
PS0044,FM008,Philippe Gaubert,菲利普・高貝爾,association,National Flute Association,https://www.nfaonline.org/resources-publications/publications/selected-flute-repertoire-and-studies,人物及相關文獻來源
PS0045,FM008,Philippe Gaubert,菲利普・高貝爾,scholarly_index,Semantic Scholar,https://www.semanticscholar.org/paper/The-Flute-Book%3A-A-Complete-Guide-for-Students-and-Toff/edd41608d0a9ef80282878f1484021adaef8cf6a,人物及相關文獻來源
PS0047,FM008,Philippe Gaubert,菲利普・高貝爾,authority,Wikidata,https://www.wikidata.org/wiki/Q959431,人物及相關文獻來源
PS0048,FM008,Philippe Gaubert,菲利普・高貝爾,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Philippe_Gaubert,人物及相關文獻來源
PS0049,FM008,Philippe Gaubert,菲利普・高貝爾,bibliographic_catalog,WorldCat,https://search.worldcat.org/search?q=Philippe%20Gaubert%20flute,人物及相關文獻來源
PS0050,FM009,Adolphe Hennebains,阿道夫・亨內班,scholarly_index,Semantic Scholar,https://www.semanticscholar.org/paper/The-Flute-Book%3A-A-Complete-Guide-for-Students-and-Toff/edd41608d0a9ef80282878f1484021adaef8cf6a,人物及相關文獻來源
PS0051,FM009,Adolphe Hennebains,阿道夫・亨內班,library_archive,Library of Congress,https://guides.loc.gov/flute/special-collections,人物及相關文獻來源
PS0053,FM009,Adolphe Hennebains,阿道夫・亨內班,authority,Wikidata,https://www.wikidata.org/wiki/Q365741,人物及相關文獻來源
PS0054,FM009,Adolphe Hennebains,阿道夫・亨內班,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Adolphe_Hennebains,人物及相關文獻來源
PS0055,FM009,Adolphe Hennebains,阿道夫・亨內班,bibliographic_catalog,WorldCat,https://search.worldcat.org/search?q=Adolphe%20Hennebains%20flute,人物及相關文獻來源
PS0056,FM010,Georges Barrère,喬治・巴雷爾,scholarly_index,Semantic Scholar,https://www.semanticscholar.org/paper/The-Flute-Book%3A-A-Complete-Guide-for-Students-and-Toff/edd41608d0a9ef80282878f1484021adaef8cf6a,人物及相關文獻來源
PS0057,FM010,Georges Barrère,喬治・巴雷爾,library_archive,Library of Congress,https://guides.loc.gov/flute/special-collections,人物及相關文獻來源
PS0059,FM010,Georges Barrère,喬治・巴雷爾,authority,Wikidata,https://www.wikidata.org/wiki/Q240224,人物及相關文獻來源
PS0060,FM010,Georges Barrère,喬治・巴雷爾,encyclopedia,Wikipedia,https://en.wikipedia.org/wiki/Georges_Barr%C3%A8re,人物及相關文獻來源
PS0061,FM010,Georges Barrère,喬治・巴雷爾,bibliographic_catalog,WorldCat,https://search.worldcat.org/search?q=Georges%20Barr%C3%A8re%20flute,人物及相關文獻來源
PS0062,FM011,Louis Fleury,路易・弗勒里,scholarly_index,Semantic Scholar,https://www.semanticscholar.org/paper/The-Flute-Book%3A-A-Complete-Guide-for-Students-and-Toff/edd41608d0a9ef80282878f1484021adaef8cf6a,人物及相關文獻來源
PS0063,FM011,Louis Fleury,路易・弗勒里,library_archive,Library of Congress,https://guides.loc.gov/flute/special-collections,人物及相關文獻來源
